Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Alex Ovechkin,,,LW,8000,WAS,@CAR,1,L1,P1,2.82,22.1,20.6,20.9,4.6,4.2,4.1,4.6,5.0,5.3,2.0,8.5,4.6,0.6,0.0,0.0
Patrick Kane,,,RW,7900,CHI,@SJ,1,L1,P1,2.76,23.1,22.8,22.4,3.6,4.2,4.1,3.0,6.1,5.5,2.2,8.7,4.0,0.5,0.0,0.0
Connor McDavid,,,C,7900,EDM,DAL,1,L1,P1,2.73,22.4,23.3,23.0,1.8,2.7,3.1,5.6,5.3,5.4,2.8,8.0,5.2,0.7,0.0,0.0
Aleksander Barkov,,,C,7700,FLA,@OTT,1,L1,P1,3.46,20.2,21.7,22.4,1.8,2.3,2.5,4.0,4.5,4.5,1.4,7.6,4.4,0.6,0.0,0.0
Jack Eichel,,,C,7600,BUF,DET,1,L1,P1,3.27,20.4,20.5,20.4,3.2,3.6,4.0,3.0,4.4,4.8,2.0,7.6,4.7,0.6,0.0,0.0
Leon Draisaitl,,,LW,7500,EDM,DAL,1,L1,P1,2.73,21.5,23.2,22.5,2.2,2.9,2.8,5.9,5.3,4.8,1.7,7.8,3.6,0.5,0.0,0.0
Tyler Seguin,,,C,7300,DAL,@EDM,0,L1,P1,2.77,21.2,20.7,20.9,6.2,4.3,4.1,7.8,5.0,4.7,1.7,7.7,4.5,0.6,0.0,0.0
Cam Atkinson,,,RW,7200,CLS,MON,1,L1,P1,2.95,18.4,19.7,19.5,1.8,3.4,3.7,2.1,3.7,4.4,1.2,7.6,3.6,0.5,0.0,0.0
Sebastian Aho,,,C,7100,CAR,WAS,1,L1,P1,3.18,21.0,20.6,20.1,2.4,3.0,3.0,2.2,4.2,4.3,1.0,7.6,3.7,0.5,0.0,0.0
Jonathan Huberdeau,,,LW,7000,FLA,@OTT,1,L1,P1,3.46,18.0,19.0,18.8,2.2,3.2,2.7,4.0,4.2,4.2,1.2,7.1,3.4,0.5,0.0,0.0
Jonathan Toews,,,C,7000,CHI,@SJ,1,L1,P1,2.76,22.1,21.5,20.9,4.4,3.1,2.9,4.4,4.5,4.1,1.2,7.1,3.3,0.5,0.0,0.0
Bo Horvat,,,C,6900,VAN,LA,1,L1,P1,2.92,19.0,20.9,20.9,3.2,3.0,2.9,4.7,3.5,3.7,1.4,6.0,3.2,0.5,0.0,0.0
Alexander Radulov,,,RW,6800,DAL,@EDM,0,L2,P1,2.77,20.6,20.1,19.8,3.6,3.2,3.0,5.7,4.5,4.5,1.7,7.3,3.3,0.5,0.0,0.0
Tomas Hertl,,,C,6800,SJ,CHI,2,L2,P1,3.74,20.7,19.6,19.0,2.6,2.5,2.3,2.9,4.3,4.0,0.9,7.0,3.0,0.4,0.0,0.0
Brock Boeser,,,RW,6700,VAN,LA,1,L2,P1,2.92,17.5,19.4,19.2,2.4,3.0,3.0,2.8,3.5,3.7,0.8,6.6,4.1,0.6,0.0,0.0
Brent Burns,,,D,6600,SJ,CHI,2,D1,P1,3.74,26.8,26.5,25.1,3.8,4.1,3.7,3.7,5.2,4.7,1.9,7.6,4.4,0.7,0.0,0.0
Timo Meier,,,LW,6600,SJ,CHI,2,L1,P2,3.74,16.6,17.0,17.1,2.4,3.1,3.2,2.9,3.4,3.9,1.6,6.2,2.7,0.4,0.0,0.0
Elias Pettersson,,,C,6600,VAN,LA,1,L2,P1,2.92,17.1,18.3,18.3,1.8,1.9,2.0,2.9,3.4,3.8,0.7,6.8,3.1,0.5,0.0,0.0
John Carlson,,,D,6500,WAS,@CAR,1,D1,P1,2.82,24.4,24.8,25.1,2.4,2.1,2.3,3.3,3.8,4.1,1.6,6.6,3.7,0.6,0.0,0.0
Mike Hoffman,,,LW,6500,FLA,@OTT,1,L2,P1,3.46,18.0,17.7,18.0,2.8,2.8,3.1,3.8,3.6,3.9,1.6,6.3,3.4,0.5,0.0,0.0
Logan Couture,,,C,6500,SJ,CHI,2,L1,P1,3.74,18.7,18.5,18.7,2.8,2.4,2.5,2.7,3.3,3.7,0.9,6.5,3.4,0.5,0.0,0.0
Brendan Gallagher,,,RW,6400,MON,@CLS,1,L1,P2,2.55,14.8,15.9,16.4,4.4,3.8,3.7,5.6,4.0,3.8,1.3,6.4,3.4,0.5,0.0,0.0
Shea Weber,,,D,6400,MON,@CLS,1,D1,P1,2.55,21.7,23.0,23.6,4.4,2.8,2.9,5.3,3.8,3.8,1.6,6.1,3.5,0.5,0.0,0.0
