C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Braden Holtby (12322564),Braden Holtby,12322564,G,8300,WAS@CAR 03/28/2019 07:00PM ET,WAS,4.53
,,,,,,,,,,G,Martin Jones (12322565),Martin Jones,12322565,G,8200,CHI@SJ 03/28/2019 10:30PM ET,SJ,4.02
,,,,,,,,,,G,Pheonix Copley (12322567),Pheonix Copley,12322567,G,8100,WAS@CAR 03/28/2019 07:00PM ET,WAS,4.58
,,,,,,,,,,G,Connor Hellebuyck (12322566),Connor Hellebuyck,12322566,G,8100,NYI@WPG 03/28/2019 08:00PM ET,WPG,4.91
,,,,,,,,,,LW,Alex Ovechkin (12321762),Alex Ovechkin,12321762,W/UTIL,8000,WAS@CAR 03/28/2019 07:00PM ET,WAS,5.28
,,,,,,,,,,G,Mikko Koskinen (12322568),Mikko Koskinen,12322568,G,8000,DAL@EDM 03/28/2019 09:00PM ET,EDM,4.21
,,,,,,,,,,G,Aaron Dell (12322569),Aaron Dell,12322569,G,8000,CHI@SJ 03/28/2019 10:30PM ET,SJ,2.9
,,,,,,,,,,G,Carey Price (12322570),Carey Price,12322570,G,7900,MON@CLS 03/28/2019 07:00PM ET,MON,4.78
,,,,,,,,,,G,Eric Comrie (12322572),Eric Comrie,12322572,G,7900,NYI@WPG 03/28/2019 08:00PM ET,WPG,0
,,,,,,,,,,G,Laurent Brossoit (12322573),Laurent Brossoit,12322573,G,7900,NYI@WPG 03/28/2019 08:00PM ET,WPG,5.36
,,,,,,,,,,C,Connor McDavid (12321526),Connor McDavid,12321526,C/UTIL,7900,DAL@EDM 03/28/2019 09:00PM ET,EDM,5.44
