"Jonathan Quick",7100,LAK,G,VAN,4.32,4.32,4.32
"Mikko Koskinen",8000,EDM,G,DAL,4.64,4.64,4.64
"Anton Khudobin",7100,DAL,G,EDM,4.58,4.58,4.58
"Connor Hellebuyck",8100,WPG,G,NYI,4.94,4.94,4.94
"Jack Campbell",6900,LAK,G,VAN,0,0,0
"Thatcher Demko",7700,VAN,G,LAK,4.88,4.88,4.88
"Aaron Dell",8000,SJS,G,CHI,0,0,0
"Martin Jones",8200,SJS,G,CHI,5.12,5.12,5.12
"Corey Crawford",7000,CHI,G,SJS,4.21,4.21,4.21
"Cam Ward",6800,CHI,G,SJS,0,0,0
"Robin Lehner",7400,NYI,G,WPG,4.49,4.49,4.49
"Thomas Greiss",7200,NYI,G,WPG,0,0,0
"Jonathan Bernier",7300,DET,G,BUF,0,0,0
"Carey Price",7900,MON,G,CBJ,4.51,4.51,4.51
"Sergei Bobrovsky",7600,CBJ,G,MON,4.84,4.84,4.84
"Braden Holtby",8300,WSH,G,CAR,4.48,4.48,4.48
"Jimmy Howard",7500,DET,G,BUF,4.4,4.4,4.4
"Linus Ullmark",7600,BUF,G,DET,4.83,4.83,4.83
"Anders Nilsson",7400,OTT,G,FLA,4.41,4.41,4.41
"Roberto Luongo",7300,FLA,G,OTT,4.87,4.87,4.87
"James Reimer",7300,FLA,G,OTT,0,0,0
"Curtis McElhinney",6700,CAR,G,WSH,4.78,4.78,4.78
