"Radek Faksa",3500,DAL,C,EDM,1.59,1.59,1.59
"Andrej Sekera",2500,EDM,D,DAL,1.67,1.67,1.67
"Andrew Cogliano",2500,DAL,W,EDM,1.63,1.63,1.63
"Adam Larsson",3200,EDM,D,DAL,1.63,1.63,1.63
"Milan Lucic",2500,EDM,W,DAL,1.47,1.47,1.47
"Jason Dickinson",2800,DAL,W,EDM,1.47,1.47,1.47
"Brett Ritchie",2500,DAL,W,EDM,1.51,1.51,1.51
"Darnell Nurse",5400,EDM,D,DAL,1.53,1.53,1.53
"Jason Spezza",3000,DAL,C,EDM,1.63,1.63,1.63
"Zack Kassian",3200,EDM,W,DAL,1.71,1.71,1.71
"Alexander Radulov",6800,DAL,W,EDM,3.41,3.41,3.41
"Leon Draisaitl",7500,EDM,W,DAL,3.58,3.58,3.58
"Tyler Seguin",7300,DAL,C,EDM,4.03,4.03,4.03
"Jamie Benn",5800,DAL,W,EDM,3.08,3.08,3.08
"John Klingberg",5700,DAL,D,EDM,2.88,2.88,2.88
"Mattias Janmark",2600,DAL,W,EDM,1.8,1.8,1.8
"Oscar Klefbom",5300,EDM,D,DAL,2.34,2.34,2.34
"Ryan Nugent-Hopkins",6200,EDM,C,DAL,2.6,2.6,2.6
"Roope Hintz",3300,DAL,C,EDM,1.45,1.45,1.45
"Miro Heiskanen",4000,DAL,D,EDM,1.44,1.44,1.44
"Julius Honka",2500,DAL,D,EDM,1.19,1.19,1.19
"Alex Petrovic",2500,EDM,D,DAL,1.24,1.24,1.24
"Kevin Gravel",2500,EDM,D,DAL,1.28,1.28,1.28
"Jujhar Khaira",2500,EDM,W,DAL,1.12,1.12,1.12
"Roman Polak",3100,DAL,D,EDM,1.07,1.07,1.07
"Colby Cave",2500,EDM,C,DAL,1.24,1.24,1.24
"Taylor Fedun",2900,DAL,D,EDM,0.91,0.91,0.91
"Kyle Brodziak",2500,EDM,C,DAL,0.96,0.96,0.96
"Blake Comeau",2700,DAL,W,EDM,1.29,1.29,1.29
"Ty Rattie",2500,EDM,W,DAL,1.3,1.3,1.3
"Alex Chiasson",4100,EDM,W,DAL,1.39,1.39,1.39
"Kris Russell",3900,EDM,D,DAL,1.51,1.51,1.51
"Tobias Rieder",2500,EDM,W,DAL,1.42,1.42,1.42
"Esa Lindell",4300,DAL,D,EDM,1.45,1.45,1.45
"Valeri Nichushkin",2500,DAL,W,EDM,1.31,1.31,1.31
"Matt Benning",2900,EDM,D,DAL,1.35,1.35,1.35
"Tyler Pitlick",2500,DAL,W,EDM,1.33,1.33,1.33
"Ben Lovejoy",3000,DAL,D,EDM,1.45,1.45,1.45
"Connor McDavid",7900,EDM,C,DAL,4.15,4.15,4.15
"Devon Toews",3400,NYI,D,WPG,1.46,1.46,1.46
"Brock Nelson",5300,NYI,C,WPG,1.77,1.77,1.77
"Adam Lowry",2500,WPG,C,NYI,1.75,1.75,1.75
"Mathieu Perreault",2700,WPG,W,NYI,1.75,1.75,1.75
"Jack Roslovic",2500,WPG,W,NYI,1.57,1.57,1.57
"Nick Leddy",3400,NYI,D,WPG,1.59,1.59,1.59
"Dmitry Kulikov",2500,WPG,D,NYI,1.52,1.52,1.52
"Andrew Copp",2600,WPG,C,NYI,1.44,1.44,1.44
"Anthony Beauvillier",2800,NYI,W,WPG,1.47,1.47,1.47
"Bryan Little",2900,WPG,W,NYI,1.87,1.87,1.87
"Ryan Pulock",4800,NYI,D,WPG,1.98,1.98,1.98
"Jacob Trouba",5500,WPG,D,NYI,2.71,2.71,2.71
"Kevin Hayes",4900,WPG,C,NYI,2.62,2.62,2.62
"Patrik Laine",5300,WPG,W,NYI,2.65,2.65,2.65
"Josh Bailey",3800,NYI,W,WPG,2.41,2.41,2.41
"Tyler Myers",3600,WPG,D,NYI,2.29,2.29,2.29
